"","Weather","Herbicide_Application","Manure","Weeds","Fungicide_Application","Nitrogen","Fertilizer_Application","Filter_Cake","Amount_of_N_Fertilizer","Type_of_N_Fertilizer","Mechanical_Cultivation","Pests_and_Disease","Soil","Yield","Water_Application","Hand_Weeding","Potash","Compound_D","Single_Supers","Timing_of_Dressings","Trash_Burning","Heat_Treatment","Pesticide_Application"
"186","favourable","no","no","dirty","yes","not_effective","not_effective","yes","1","urea","yes","free","good","0_to_70","0.5","less","yes","no","no","wrong","yes","no","no"
"187","favourable","no","no","clean","no","not_effective","effective","yes","1","urea","yes","free","good","70_to_100","0.5","lots","yes","no","yes","wrong","yes","no","yes"
"188","unfavourable","no","no","dirty","no","not_effective","effective","yes","1","AN","no","free","good","70_to_100","1","lots","no","yes","yes","right","no","no","no"
"189","favourable","yes","yes","clean","yes","effective","not_effective","no","0.5","urea","yes","free","good",">=_100","0.5","less","no","yes","no","right","no","no","no"
"190","unfavourable","yes","yes","dirty","yes","not_effective","not_effective","no","0.5","urea","yes","free","poor","70_to_100","0.5","less","yes","no","yes","right","no","yes","yes"
"191","unfavourable","yes","no","clean","no","not_effective","not_effective","no","0.5","urea","no","free","poor","70_to_100","1","less","yes","no","yes","wrong","yes","yes","yes"
"192","favourable","no","no","dirty","yes","not_effective","effective","yes","1","urea","yes","infested","good","0_to_70","0.5","less","yes","no","yes","right","no","yes","yes"
"193","unfavourable","yes","yes","dirty","yes","effective","effective","yes","1","AN","yes","free","poor",">=_100","0.75","lots","no","no","yes","right","no","no","yes"
"194","favourable","no","no","clean","no","effective","not_effective","yes","0.5","AN","no","infested","good","70_to_100","0.75","less","no","no","no","right","yes","yes","yes"
"195","unfavourable","yes","no","clean","yes","effective","not_effective","no","1","urea","no","free","poor","70_to_100","0.5","less","no","yes","yes","wrong","yes","yes","yes"
"196","favourable","no","no","clean","no","not_effective","not_effective","no","1","AN","yes","free","poor","0_to_70","0.5","less","no","yes","yes","wrong","yes","yes","yes"
"197","unfavourable","no","yes","dirty","yes","effective","effective","no","1","urea","yes","infested","good","70_to_100","0.5","less","no","yes","yes","right","yes","no","no"
"198","unfavourable","no","yes","clean","no","effective","effective","yes","0.5","AN","yes","infested","poor","70_to_100","0.5","less","yes","no","no","right","no","no","yes"
"199","unfavourable","no","no","clean","yes","not_effective","not_effective","no","0.5","AN","yes","infested","poor",">=_100","1","lots","no","no","yes","wrong","no","no","no"
"200","favourable","yes","no","dirty","yes","effective","effective","yes","0.5","AN","no","infested","good","70_to_100","1","less","no","no","yes","wrong","yes","no","yes"
"201","unfavourable","yes","no","clean","no","effective","not_effective","no","0.5","urea","no","infested","good","70_to_100","0.5","less","no","no","yes","wrong","yes","yes","yes"
"202","favourable","no","no","clean","no","effective","effective","no","0.5","AN","no","infested","poor",">=_100","0.75","lots","yes","no","yes","right","yes","no","yes"
"203","favourable","no","yes","dirty","yes","not_effective","not_effective","no","0.5","AN","yes","free","poor","0_to_70","0.75","lots","yes","yes","yes","wrong","no","no","no"
"204","unfavourable","no","no","clean","yes","not_effective","effective","yes","1","urea","no","free","poor",">=_100","0.5","less","no","yes","yes","right","no","yes","no"
"205","favourable","no","no","dirty","yes","effective","effective","no","1","urea","no","infested","good",">=_100","0.5","lots","no","no","yes","right","yes","no","no"
"206","unfavourable","yes","no","dirty","no","effective","not_effective","no","0.5","urea","no","infested","good","70_to_100","1","less","yes","no","yes","wrong","no","yes","yes"
"207","unfavourable","yes","no","dirty","no","not_effective","not_effective","no","0.5","AN","no","infested","poor",">=_100","1","less","yes","no","yes","wrong","no","no","yes"
"208","unfavourable","yes","no","dirty","no","effective","not_effective","no","1","AN","yes","infested","poor","0_to_70","1","lots","no","no","yes","right","yes","yes","yes"
"209","unfavourable","no","no","dirty","no","effective","not_effective","no","1","AN","yes","infested","good","70_to_100","0.75","lots","yes","no","yes","right","no","no","no"
"210","favourable","yes","no","clean","no","not_effective","not_effective","yes","0.5","urea","yes","infested","good","0_to_70","0.75","lots","no","no","yes","right","yes","yes","no"
"211","favourable","no","yes","clean","no","effective","effective","yes","0.5","urea","yes","infested","poor","70_to_100","0.75","lots","yes","yes","yes","wrong","no","yes","yes"
"212","favourable","no","no","clean","no","not_effective","not_effective","yes","0.5","urea","no","free","good","70_to_100","0.5","less","yes","yes","no","wrong","yes","yes","yes"
"213","favourable","no","no","clean","no","not_effective","not_effective","no","0.5","AN","no","infested","good",">=_100","0.75","less","yes","yes","no","wrong","no","yes","yes"
"214","unfavourable","yes","yes","clean","yes","effective","effective","yes","0.5","urea","no","free","poor",">=_100","0.75","less","no","no","no","right","yes","yes","no"
"215","unfavourable","yes","yes","clean","yes","effective","effective","yes","0.5","urea","no","free","good","0_to_70","0.5","less","yes","no","yes","right","no","no","yes"
"216","favourable","yes","no","clean","yes","effective","effective","yes","0.5","AN","yes","free","poor","70_to_100","0.75","less","yes","no","yes","wrong","no","no","yes"
"217","unfavourable","yes","yes","clean","yes","effective","not_effective","no","0.5","urea","yes","free","poor","0_to_70","1","lots","yes","no","no","right","no","yes","yes"
"218","unfavourable","no","no","dirty","yes","not_effective","not_effective","no","1","urea","no","infested","good","70_to_100","1","less","yes","no","no","wrong","yes","yes","no"
"219","favourable","no","yes","dirty","yes","effective","not_effective","no","0.5","AN","yes","infested","poor","0_to_70","0.5","less","no","no","yes","right","no","yes","no"
"220","unfavourable","yes","yes","clean","yes","effective","effective","yes","1","urea","no","free","poor","70_to_100","1","lots","yes","yes","no","right","yes","yes","no"
"221","favourable","yes","yes","clean","yes","effective","effective","no","1","urea","no","free","poor",">=_100","1","lots","no","no","no","right","yes","yes","yes"
"222","favourable","yes","no","clean","yes","effective","not_effective","no","1","AN","no","free","good","0_to_70","0.75","lots","no","no","no","wrong","no","yes","no"
"223","unfavourable","no","no","clean","yes","not_effective","not_effective","no","0.5","AN","no","free","poor","0_to_70","0.75","less","no","yes","yes","right","yes","yes","no"
"224","favourable","yes","no","clean","yes","effective","effective","yes","1","urea","no","free","poor",">=_100","0.5","less","yes","no","yes","right","no","no","yes"
"225","favourable","no","no","dirty","yes","effective","not_effective","yes","1","AN","no","free","poor",">=_100","1","lots","no","no","yes","right","yes","no","no"
"226","unfavourable","no","no","dirty","no","effective","effective","no","1","AN","yes","free","poor",">=_100","1","lots","no","no","yes","right","yes","no","yes"
"227","favourable","no","no","dirty","no","effective","not_effective","no","1","urea","no","infested","good","0_to_70","1","less","no","no","yes","right","yes","no","no"
"228","unfavourable","yes","no","dirty","yes","effective","not_effective","no","0.5","AN","no","infested","poor","70_to_100","0.5","lots","no","no","no","right","no","yes","yes"
"229","favourable","no","no","clean","no","not_effective","not_effective","yes","1","urea","yes","free","poor",">=_100","1","lots","no","yes","yes","wrong","no","yes","yes"
"230","unfavourable","yes","no","clean","yes","not_effective","effective","no","1","urea","no","infested","good",">=_100","0.75","less","no","yes","yes","wrong","yes","yes","yes"
"231","favourable","yes","yes","clean","no","effective","effective","yes","0.5","urea","yes","free","good",">=_100","0.75","lots","no","no","yes","right","yes","yes","yes"
"232","unfavourable","yes","no","dirty","yes","effective","not_effective","yes","0.5","urea","no","infested","good",">=_100","1","lots","no","no","no","right","yes","yes","yes"
"233","unfavourable","yes","yes","dirty","no","not_effective","effective","no","0.5","AN","no","infested","poor","70_to_100","0.75","less","no","yes","yes","wrong","yes","yes","yes"
"234","favourable","no","yes","dirty","yes","not_effective","effective","no","1","AN","no","infested","poor","70_to_100","0.5","less","no","no","no","right","no","yes","no"
"235","unfavourable","yes","no","dirty","no","not_effective","effective","yes","1","urea","yes","infested","good","0_to_70","0.75","lots","no","no","no","wrong","yes","no","yes"
"236","favourable","yes","yes","clean","no","effective","effective","yes","1","AN","yes","infested","good","0_to_70","0.75","lots","yes","no","yes","right","yes","yes","no"
"237","favourable","no","yes","dirty","yes","not_effective","effective","yes","0.5","AN","no","infested","good","70_to_100","0.75","lots","yes","no","yes","right","no","no","no"
"238","unfavourable","yes","yes","dirty","yes","effective","effective","no","1","urea","yes","infested","poor","0_to_70","1","less","no","no","no","right","yes","yes","yes"
"239","unfavourable","no","no","dirty","yes","not_effective","effective","yes","0.5","AN","yes","infested","poor","0_to_70","0.5","less","yes","yes","yes","right","yes","yes","no"
"240","unfavourable","no","no","clean","no","effective","not_effective","yes","1","urea","yes","infested","good",">=_100","1","less","no","yes","yes","right","yes","yes","yes"
"241","favourable","no","no","clean","yes","not_effective","effective","yes","1","AN","no","free","good","0_to_70","0.75","less","yes","yes","no","wrong","yes","no","no"
"242","favourable","yes","yes","clean","no","not_effective","effective","no","1","AN","yes","infested","good",">=_100","1","less","yes","yes","no","wrong","no","no","no"
"243","favourable","no","no","clean","yes","effective","effective","yes","1","urea","no","infested","poor","0_to_70","1","lots","no","yes","no","right","yes","no","no"
"244","unfavourable","no","no","dirty","no","not_effective","not_effective","no","1","AN","yes","free","good","70_to_100","0.75","less","yes","no","no","right","no","no","yes"
"245","unfavourable","no","no","clean","yes","effective","effective","no","1","AN","no","infested","good",">=_100","0.75","less","yes","no","no","wrong","yes","yes","yes"
"246","unfavourable","yes","no","dirty","yes","effective","effective","yes","1","urea","yes","infested","poor",">=_100","1","lots","yes","no","yes","wrong","no","no","yes"
"247","favourable","no","yes","clean","yes","not_effective","not_effective","yes","1","AN","no","free","good","0_to_70","0.5","less","yes","yes","yes","wrong","yes","yes","no"
"248","unfavourable","no","no","clean","yes","effective","not_effective","no","1","urea","no","free","poor","70_to_100","0.75","less","yes","no","yes","right","yes","no","yes"
"249","favourable","yes","yes","clean","no","effective","not_effective","yes","0.5","AN","no","free","poor","70_to_100","0.75","lots","yes","yes","no","wrong","yes","no","yes"
"250","unfavourable","no","no","dirty","no","not_effective","effective","yes","0.5","urea","no","infested","good",">=_100","0.5","less","yes","no","no","wrong","no","yes","no"
"251","favourable","yes","yes","clean","yes","effective","effective","no","1","urea","no","infested","good","0_to_70","0.5","less","yes","yes","no","wrong","no","yes","no"
"252","unfavourable","no","no","clean","yes","not_effective","effective","yes","1","AN","no","free","poor","70_to_100","1","less","yes","yes","yes","right","no","yes","yes"
"253","unfavourable","no","no","clean","yes","not_effective","not_effective","no","1","AN","yes","infested","good","0_to_70","1","less","no","no","no","wrong","no","no","yes"
"254","unfavourable","no","no","clean","no","not_effective","effective","yes","1","urea","no","infested","poor",">=_100","0.75","lots","no","yes","no","right","yes","no","yes"
"255","unfavourable","yes","no","clean","yes","effective","effective","no","0.5","AN","yes","infested","good",">=_100","0.5","lots","yes","no","no","right","yes","yes","no"
"256","favourable","no","no","clean","yes","not_effective","not_effective","yes","1","AN","no","free","good","0_to_70","0.75","less","no","yes","no","right","no","no","yes"
"257","unfavourable","no","yes","clean","no","effective","effective","no","0.5","AN","no","infested","good","70_to_100","1","lots","no","yes","no","wrong","yes","no","no"
"258","favourable","yes","yes","clean","no","not_effective","not_effective","yes","1","urea","no","free","good","0_to_70","0.75","less","no","no","yes","wrong","yes","no","yes"
"259","favourable","no","yes","clean","no","not_effective","effective","yes","0.5","AN","yes","free","poor","70_to_100","1","less","no","yes","no","wrong","no","yes","no"
"260","unfavourable","no","no","clean","yes","not_effective","not_effective","yes","1","AN","no","free","poor",">=_100","0.5","lots","yes","no","yes","right","yes","yes","no"
"261","unfavourable","yes","yes","clean","yes","not_effective","not_effective","yes","0.5","AN","no","free","poor",">=_100","0.75","lots","yes","no","no","wrong","yes","no","yes"
"262","unfavourable","no","no","dirty","no","not_effective","effective","no","1","AN","yes","infested","poor","70_to_100","0.5","lots","no","yes","no","right","no","no","yes"
"263","unfavourable","yes","yes","dirty","yes","not_effective","effective","yes","1","urea","no","free","poor",">=_100","1","lots","no","no","yes","wrong","yes","no","no"
"264","unfavourable","yes","yes","dirty","yes","not_effective","not_effective","yes","1","urea","yes","free","poor","70_to_100","0.5","lots","no","yes","no","right","no","no","no"
"265","unfavourable","no","no","clean","no","not_effective","effective","no","0.5","AN","no","free","good","70_to_100","1","less","no","no","yes","wrong","yes","no","yes"
"266","unfavourable","yes","no","dirty","no","not_effective","not_effective","no","0.5","urea","yes","infested","good","0_to_70","0.5","lots","no","no","yes","wrong","yes","yes","yes"
"267","favourable","no","yes","clean","yes","not_effective","effective","no","0.5","urea","no","infested","good","0_to_70","0.5","less","yes","no","yes","right","yes","no","yes"
"268","unfavourable","yes","no","clean","yes","not_effective","effective","yes","1","urea","no","free","good",">=_100","0.75","lots","no","yes","no","wrong","yes","no","no"
"269","favourable","no","no","clean","no","effective","not_effective","no","1","AN","yes","infested","good",">=_100","0.75","less","yes","no","yes","wrong","yes","yes","yes"
"270","favourable","no","yes","clean","yes","effective","not_effective","no","1","AN","yes","infested","poor","70_to_100","1","lots","yes","yes","yes","right","yes","no","no"
"271","favourable","no","no","clean","yes","not_effective","not_effective","yes","1","urea","yes","free","good",">=_100","1","less","yes","yes","yes","wrong","yes","no","no"
"272","unfavourable","no","no","clean","no","not_effective","effective","yes","1","urea","yes","infested","poor","0_to_70","0.5","less","yes","no","no","right","no","no","no"
"273","favourable","no","yes","clean","yes","not_effective","effective","no","0.5","AN","no","free","poor","0_to_70","0.75","less","no","yes","no","right","no","no","yes"
"274","favourable","yes","yes","clean","no","effective","effective","yes","0.5","urea","no","free","poor","0_to_70","0.5","lots","no","yes","no","wrong","no","yes","no"
"275","unfavourable","yes","no","dirty","no","not_effective","effective","yes","0.5","urea","no","free","poor","70_to_100","0.75","less","no","yes","yes","right","yes","no","yes"
"276","favourable","yes","yes","clean","no","effective","effective","no","1","urea","no","free","poor","70_to_100","0.5","less","yes","no","yes","wrong","yes","no","yes"
"277","unfavourable","no","no","dirty","no","effective","effective","no","1","urea","no","infested","poor",">=_100","0.75","lots","yes","yes","yes","wrong","no","no","no"
"278","unfavourable","no","no","clean","yes","not_effective","effective","yes","1","urea","yes","free","poor","0_to_70","1","less","no","yes","no","right","yes","no","yes"
"279","favourable","yes","no","dirty","no","not_effective","not_effective","yes","0.5","AN","yes","free","good",">=_100","0.5","less","no","no","no","right","no","yes","yes"
"280","unfavourable","no","yes","dirty","yes","not_effective","not_effective","no","1","urea","yes","free","poor",">=_100","1","less","no","yes","no","right","no","yes","no"
"281","favourable","yes","yes","clean","no","not_effective","not_effective","yes","1","AN","no","free","good",">=_100","1","less","yes","yes","no","right","no","yes","yes"
"282","unfavourable","yes","no","clean","yes","effective","effective","yes","1","AN","yes","infested","poor","0_to_70","1","lots","yes","yes","yes","wrong","yes","no","no"
"283","unfavourable","yes","no","dirty","no","effective","not_effective","yes","0.5","urea","no","infested","good","0_to_70","0.5","lots","yes","yes","yes","right","yes","yes","yes"
"284","unfavourable","no","yes","clean","no","not_effective","effective","yes","0.5","AN","yes","infested","poor","70_to_100","0.75","less","no","yes","yes","right","yes","no","no"
"285","favourable","no","no","dirty","yes","effective","not_effective","yes","0.5","urea","yes","free","poor","0_to_70","0.5","lots","yes","yes","yes","right","no","no","no"
"286","unfavourable","yes","no","dirty","yes","not_effective","effective","yes","1","urea","yes","infested","poor","0_to_70","0.5","less","no","yes","no","right","yes","no","yes"
"287","unfavourable","yes","yes","dirty","yes","effective","not_effective","yes","1","AN","yes","infested","good","0_to_70","0.75","lots","yes","yes","yes","wrong","no","no","no"
"288","unfavourable","no","no","dirty","no","effective","not_effective","no","0.5","AN","yes","free","good",">=_100","1","less","no","yes","no","right","yes","no","no"
"289","favourable","no","yes","clean","yes","not_effective","not_effective","yes","1","AN","no","free","good",">=_100","1","less","no","yes","no","right","yes","yes","no"
"290","favourable","no","no","dirty","yes","not_effective","effective","no","1","AN","yes","infested","good","70_to_100","1","lots","no","no","no","wrong","yes","no","no"
"291","favourable","no","no","clean","yes","not_effective","not_effective","no","0.5","AN","yes","infested","poor","0_to_70","0.75","lots","no","yes","no","right","yes","no","yes"
"292","favourable","yes","no","clean","yes","not_effective","not_effective","yes","0.5","AN","no","free","poor","0_to_70","1","less","no","no","yes","right","no","no","no"
"293","unfavourable","yes","yes","clean","yes","effective","effective","yes","0.5","AN","no","infested","poor","0_to_70","0.5","less","no","yes","yes","right","yes","yes","no"
"294","favourable","no","yes","clean","no","not_effective","not_effective","no","0.5","urea","yes","infested","poor","70_to_100","0.75","lots","yes","no","yes","right","no","yes","no"
"295","unfavourable","yes","yes","clean","no","effective","effective","yes","1","urea","yes","free","good",">=_100","0.75","less","yes","yes","yes","wrong","no","no","yes"
"296","favourable","no","yes","clean","yes","effective","effective","yes","0.5","urea","no","infested","good","0_to_70","0.5","lots","no","yes","no","right","yes","no","no"
"297","favourable","no","no","clean","yes","effective","not_effective","yes","0.5","urea","yes","infested","poor",">=_100","0.75","less","yes","yes","no","wrong","no","no","no"
"298","favourable","yes","no","clean","yes","effective","effective","yes","0.5","urea","no","free","poor",">=_100","1","lots","no","no","no","right","yes","yes","no"
"299","favourable","yes","yes","dirty","yes","not_effective","effective","no","1","urea","yes","infested","good",">=_100","0.75","less","no","yes","yes","right","no","yes","yes"
"300","favourable","no","yes","clean","no","effective","effective","yes","1","urea","yes","free","good","70_to_100","0.75","lots","yes","no","yes","wrong","yes","no","yes"
"301","unfavourable","no","no","clean","yes","effective","effective","no","1","urea","yes","free","good",">=_100","1","lots","yes","no","no","wrong","no","yes","yes"
"302","unfavourable","no","no","clean","yes","not_effective","effective","no","1","urea","yes","infested","good","70_to_100","0.5","lots","yes","no","no","wrong","no","no","no"
"303","favourable","yes","yes","dirty","no","not_effective","not_effective","no","1","AN","yes","infested","poor","70_to_100","1","less","yes","no","no","wrong","yes","yes","yes"
"304","favourable","yes","yes","clean","yes","not_effective","effective","yes","0.5","urea","yes","free","good",">=_100","0.75","lots","yes","no","yes","right","yes","no","no"
"305","favourable","no","no","clean","no","effective","not_effective","no","0.5","urea","no","infested","poor","0_to_70","0.75","lots","yes","no","no","wrong","yes","no","yes"
"306","unfavourable","no","yes","clean","no","not_effective","not_effective","yes","0.5","urea","no","infested","good","70_to_100","0.75","lots","yes","yes","yes","right","no","no","yes"
"307","favourable","yes","no","clean","yes","not_effective","effective","yes","1","AN","no","free","good","0_to_70","1","lots","no","no","no","right","no","yes","no"
"308","favourable","yes","yes","dirty","no","effective","not_effective","yes","1","urea","yes","infested","good","70_to_100","0.5","less","yes","yes","yes","right","no","no","no"
"309","unfavourable","no","no","dirty","yes","effective","effective","no","1","AN","no","free","poor","70_to_100","1","lots","no","yes","no","right","no","no","no"
"310","favourable","no","yes","dirty","yes","effective","effective","no","0.5","urea","yes","free","poor","0_to_70","1","lots","yes","yes","no","wrong","no","yes","no"
"311","unfavourable","no","yes","dirty","no","not_effective","not_effective","no","1","urea","yes","free","poor","0_to_70","1","less","no","yes","no","right","yes","yes","yes"
"312","unfavourable","yes","yes","clean","yes","not_effective","effective","no","1","AN","yes","infested","poor",">=_100","1","less","no","yes","yes","right","yes","yes","no"
"313","unfavourable","no","no","dirty","yes","effective","effective","yes","1","urea","yes","infested","poor",">=_100","0.5","less","no","yes","yes","wrong","yes","yes","yes"
"314","favourable","yes","no","clean","no","effective","effective","yes","1","urea","yes","infested","good","0_to_70","1","less","no","yes","yes","right","no","yes","yes"
"315","favourable","yes","yes","clean","no","effective","effective","no","0.5","urea","yes","free","good","0_to_70","0.75","less","yes","no","no","wrong","yes","yes","yes"
"316","unfavourable","no","yes","dirty","yes","not_effective","not_effective","yes","0.5","AN","no","infested","good","70_to_100","0.75","less","no","no","yes","right","no","no","no"
"317","unfavourable","yes","no","dirty","yes","not_effective","effective","yes","0.5","AN","no","infested","poor","70_to_100","1","less","yes","no","no","wrong","yes","no","yes"
"318","unfavourable","no","yes","clean","no","not_effective","effective","yes","0.5","AN","no","infested","good","70_to_100","0.75","less","no","no","no","wrong","no","no","no"
"319","favourable","no","yes","clean","yes","not_effective","not_effective","no","0.5","urea","no","infested","good","0_to_70","0.75","lots","no","yes","yes","wrong","yes","no","yes"
"320","unfavourable","yes","no","dirty","no","effective","not_effective","yes","1","urea","no","infested","good","70_to_100","0.75","lots","no","no","no","wrong","yes","no","yes"
"321","unfavourable","no","yes","clean","yes","effective","effective","yes","0.5","urea","yes","free","poor","0_to_70","0.5","lots","no","yes","no","right","yes","yes","yes"
"322","favourable","yes","no","clean","no","not_effective","effective","no","1","urea","yes","free","poor","0_to_70","1","less","yes","yes","no","wrong","yes","yes","no"
"323","favourable","no","no","clean","yes","effective","effective","yes","1","urea","no","free","good","0_to_70","1","less","yes","yes","yes","wrong","no","no","yes"
"324","favourable","yes","yes","clean","yes","effective","effective","no","1","urea","no","free","good","70_to_100","1","lots","yes","no","yes","right","no","no","no"
"325","unfavourable","yes","yes","clean","yes","effective","effective","no","1","AN","yes","infested","poor","0_to_70","0.75","lots","no","no","no","right","yes","yes","no"
"326","favourable","yes","no","dirty","yes","not_effective","effective","yes","0.5","AN","no","infested","poor","0_to_70","1","lots","yes","no","no","wrong","no","no","no"
"327","favourable","yes","no","clean","yes","not_effective","effective","yes","0.5","urea","no","infested","poor","70_to_100","1","less","yes","no","yes","wrong","no","yes","yes"
"328","unfavourable","yes","yes","dirty","no","not_effective","effective","no","0.5","urea","yes","infested","good","0_to_70","0.5","less","no","no","yes","wrong","no","yes","no"
"329","favourable","yes","yes","clean","no","effective","not_effective","yes","1","urea","yes","free","good","0_to_70","0.75","lots","no","yes","no","wrong","no","no","yes"
"330","favourable","no","yes","clean","yes","not_effective","effective","no","1","AN","yes","infested","poor",">=_100","1","lots","yes","no","no","right","no","no","yes"
"331","unfavourable","no","no","clean","no","effective","not_effective","no","0.5","urea","no","free","poor","70_to_100","0.75","lots","no","yes","yes","wrong","no","yes","yes"
"332","favourable","yes","no","clean","no","not_effective","not_effective","no","1","AN","yes","infested","good","70_to_100","0.75","less","yes","yes","yes","right","no","no","yes"
"333","favourable","yes","no","clean","yes","not_effective","not_effective","yes","0.5","AN","yes","free","poor","70_to_100","0.75","lots","no","no","no","wrong","yes","no","no"
"334","favourable","no","no","dirty","no","effective","not_effective","yes","0.5","AN","yes","free","good","0_to_70","1","less","no","no","no","right","yes","no","yes"
"335","unfavourable","no","yes","dirty","yes","effective","not_effective","no","0.5","urea","yes","free","poor","0_to_70","0.75","less","yes","yes","no","right","yes","no","no"
"336","unfavourable","no","no","clean","yes","effective","not_effective","no","1","urea","yes","free","poor","70_to_100","0.5","less","yes","no","no","wrong","yes","no","yes"
"337","favourable","no","no","dirty","no","not_effective","effective","no","0.5","urea","no","free","good",">=_100","1","less","yes","no","yes","wrong","yes","yes","no"
"338","unfavourable","no","yes","dirty","no","effective","effective","yes","0.5","AN","yes","free","good","70_to_100","1","lots","yes","no","yes","right","no","no","no"
"339","unfavourable","no","no","dirty","yes","not_effective","not_effective","no","1","AN","no","infested","good","0_to_70","0.5","less","yes","yes","yes","wrong","no","no","no"
"340","favourable","no","yes","clean","yes","not_effective","effective","no","1","urea","yes","free","good","70_to_100","1","lots","no","no","yes","right","no","no","yes"
"341","favourable","yes","yes","clean","no","effective","not_effective","no","1","urea","no","infested","poor","70_to_100","1","less","yes","no","no","right","no","no","yes"
"342","favourable","no","no","clean","no","effective","effective","no","0.5","AN","yes","free","poor","0_to_70","0.5","lots","no","no","yes","wrong","yes","no","no"
"343","favourable","yes","yes","clean","no","effective","not_effective","yes","0.5","AN","no","free","good","0_to_70","1","lots","no","yes","no","right","no","no","no"
"344","favourable","no","yes","clean","no","effective","effective","yes","1","AN","yes","infested","poor","0_to_70","0.5","lots","no","no","yes","right","yes","no","yes"
"345","favourable","no","no","clean","yes","effective","not_effective","no","1","AN","yes","free","poor","70_to_100","0.75","less","no","yes","yes","right","no","no","no"
"346","unfavourable","yes","no","dirty","yes","not_effective","not_effective","yes","0.5","AN","yes","infested","poor",">=_100","1","less","yes","yes","yes","right","yes","no","no"
"347","favourable","yes","yes","dirty","no","effective","not_effective","no","1","urea","yes","infested","poor","70_to_100","0.5","lots","no","no","yes","right","no","yes","no"
"348","unfavourable","no","no","clean","yes","effective","effective","no","1","AN","no","infested","poor","0_to_70","1","less","no","yes","yes","wrong","yes","no","no"
"349","unfavourable","yes","no","dirty","no","not_effective","effective","yes","1","urea","yes","free","poor","0_to_70","0.5","less","yes","yes","no","right","no","yes","no"
"350","unfavourable","no","no","dirty","yes","not_effective","effective","no","0.5","AN","no","infested","poor","70_to_100","0.5","less","yes","no","yes","wrong","yes","yes","yes"
"351","favourable","yes","no","dirty","yes","not_effective","effective","no","0.5","urea","yes","free","poor",">=_100","0.5","less","no","no","no","right","no","yes","no"
"352","unfavourable","no","yes","dirty","no","not_effective","not_effective","yes","1","urea","no","infested","poor","0_to_70","1","less","yes","no","yes","wrong","no","no","yes"
"353","unfavourable","no","yes","dirty","yes","effective","not_effective","yes","1","AN","no","free","poor",">=_100","0.5","lots","no","yes","yes","wrong","yes","no","yes"
"354","unfavourable","yes","no","dirty","no","effective","not_effective","yes","0.5","AN","no","infested","poor",">=_100","0.75","lots","yes","no","no","right","no","yes","no"
"355","unfavourable","yes","no","dirty","yes","effective","not_effective","no","1","urea","yes","free","good",">=_100","1","lots","no","no","no","right","no","yes","no"
"356","unfavourable","no","no","dirty","yes","not_effective","effective","yes","1","AN","yes","free","poor","0_to_70","0.5","lots","no","yes","yes","right","no","yes","no"
"357","favourable","yes","yes","dirty","no","effective","effective","no","0.5","urea","yes","free","good","70_to_100","0.75","less","no","yes","yes","right","yes","no","no"
"358","favourable","no","no","dirty","yes","effective","not_effective","yes","0.5","AN","no","free","poor","0_to_70","0.5","lots","yes","no","no","right","yes","yes","no"
"359","favourable","no","no","clean","yes","effective","not_effective","no","0.5","AN","no","infested","good","0_to_70","0.75","less","yes","yes","yes","wrong","yes","yes","no"
"360","unfavourable","no","yes","dirty","no","effective","effective","yes","0.5","AN","no","free","good","70_to_100","0.75","less","no","yes","yes","right","yes","yes","no"
"361","unfavourable","yes","yes","clean","yes","effective","not_effective","no","0.5","AN","yes","free","good","0_to_70","0.5","lots","no","no","yes","right","no","yes","no"
"362","favourable","yes","no","dirty","yes","effective","effective","no","1","urea","yes","infested","poor","0_to_70","1","less","yes","yes","no","right","yes","yes","yes"
"363","unfavourable","no","no","dirty","no","effective","effective","yes","0.5","urea","yes","free","good","70_to_100","0.75","less","no","no","yes","wrong","no","yes","yes"
"364","unfavourable","yes","yes","clean","yes","effective","effective","no","1","AN","no","infested","poor","70_to_100","0.5","lots","yes","no","yes","wrong","yes","yes","no"
"365","favourable","no","yes","dirty","yes","not_effective","not_effective","yes","0.5","AN","yes","free","poor","70_to_100","0.5","lots","yes","no","yes","wrong","yes","yes","yes"
"366","unfavourable","no","yes","clean","no","effective","not_effective","no","0.5","AN","yes","free","poor",">=_100","1","less","no","no","yes","right","yes","no","no"
"367","favourable","yes","yes","dirty","yes","effective","effective","no","1","urea","no","free","good",">=_100","0.5","less","no","no","no","wrong","no","no","no"
"368","unfavourable","yes","no","dirty","no","not_effective","not_effective","no","0.5","urea","yes","infested","poor","70_to_100","0.5","less","no","yes","yes","wrong","no","yes","yes"
"369","favourable","no","no","clean","yes","not_effective","effective","yes","1","AN","yes","infested","good","70_to_100","0.75","lots","no","no","no","wrong","yes","no","yes"
"370","favourable","no","no","dirty","no","effective","effective","no","1","urea","no","free","poor","70_to_100","0.5","lots","no","no","yes","wrong","yes","yes","no"
"371","favourable","no","no","clean","no","effective","effective","no","0.5","AN","yes","infested","good",">=_100","0.75","lots","no","yes","no","wrong","no","yes","no"
"372","unfavourable","no","yes","clean","yes","effective","not_effective","no","0.5","AN","no","infested","good","0_to_70","0.5","less","yes","no","no","right","no","yes","yes"
"373","favourable","yes","yes","clean","no","effective","effective","yes","0.5","AN","no","free","good","0_to_70","0.75","lots","no","no","yes","wrong","yes","yes","yes"
"374","unfavourable","no","no","dirty","yes","effective","effective","no","1","AN","yes","free","poor",">=_100","0.75","less","no","no","yes","right","no","no","yes"
